Name,Tags,Property
Mita,Aclaratorio,4
Vino,Economia,4
Arte,Cultura,4
Asia,Geografia,4
Carne,Economia,5
Chile,Monarquia Catolica,5
Valido,Rol,6
Nacion,"Identidad, Politica",6
Cortes,Politica,6
Ciudad,Gobierno,6
Patria,Politica,6
Virrey,Politica,6
Obraje,Economia,6
Textil,Economia,6
Vecino,Politica,6
Teatro,Cultura,6
Indias,Geografia,6
Italia,Geografia,6
Música,Cultura,6
Mineria,Economia,7
Colonia,Aclaratorio,7
Gremios,Organizacion,7
Empresa,Economia,7
Txacala,Politica,7
Defensa,Seguridad,7
Nobleza,Grupo Social,7
Romería,Cultura,7
Gremios,Organizacion,7
Barroco,Cultura,7
Fiestas,Cultura,7
Oficios,"Cultura, Economia",7
Credito,Economia,7
Ordenes,Cultura,7
Borbones,"Dinastia, Politica",8
Ingenios,Economia,8
Ceramica,Economia,8
Comercio,Economia,8
Religion,Religion,8
Tributos,Impuesto,8
Gobierno,Gobierno,8
Politica,Politica,8
Mestizos,Grupo Social,8
Austrias,"Dinastia, Politica",8
Convento,Religion,8
Maragato,Grupo Social,8
Exclavos,Trabajo,8
Misiones,"Politica, Religion",8
Hacienda,"Gobierno, Impuesto",8
Soberania,Politica,9
Genocidio,Aclaratorio,9
Industria,"Aclaratorio, Economia",9
Madereria,Economia,9
Ganadería,Economia,9
Alhóndiga,Economia,9
Culinaria,Cultura,9
Viajantes,Reflexión,9
Identidad,Identidad,9
Municipio,Gobierno,9
Naturales,Grupo Social,9
Urbanismo,Urbanismo,9
Economica,Economia,9
Mayorasgo,Legal,9
Cofradias,Organizacion,9
Expansión,"Expansion, Legal, Politica",9
Corregidor,Politica,10
Arbitrismo,Conocimiento,10
Metalurgia,Economia,10
Victimismo,Aclaratorio,10
Fiscalidad,Impuesto,10
Costumbres,Cultura,10
Conflictos,"Conflicto, Gobierno",10
Literatura,Cultura,10
Disolucion,"Gobierno, Politica",10
Universidad,Conocimiento,11
Escolastica,Conocimiento,11
Agricultura,Economia,11
Empresarios,Economia,11
Geopolitica,"Politica, Relacion Internacional",11
Tauromaquia,Cultura,11
Aclaratorios,Aclaratorio,12
Conocimiento,Conocimiento,12
Nueva España,Geografia,12
Iberoamerica,Geografia,12
Leyenda Negra,Aclaratorio,13
Cooporaciones,Organizacion,13
Colegio Mayor,Conocimiento,13
Instituciones,"Gobierno, Organizacion",13
Beneficiencia,Beneficiencia,13
Representacion,Politica,14
Trienio Liberal,Periodo,15
Tradicionalismo,Cultura,15
Manufactura Real,Economia,16
Previsión Social,Economia,16
Gentilicio Iberia,Aclaratorio,17
Comercio Pacífico,Economia,17
Guerra del Mixton,Conflicto,17
Casa de Trastámara,"Dinastia, Politica",18
Comercio Atlantico,Economia,18
Sociedad de Castas,Aclaratorio,18
Monarquía Hispánica,Politica,19
Consejo de Castilla,Gobierno,19
Tribunal de Cuentas,Institucion,19
Españoles Americanos,Grupo Social,20
Juicio de Residencia,Gobierno,20
Pre Monarquia Católica,Politica,22
Expediciones Borbonicas,Evento,23
Gentilicio Latinoamérica,Aclaratorio,24
Sociedad de Amantes del País,Conocimiento,28
Juntas Generales de Guipúzcoa,"Evento, Institucion, Politica",29
Disolución Monarquia Católica,Aclaratorio,29
¿Fue Latinoamérica Siempre Pobre?,Aclaratorio,33
Capitania General de Santo Domingo,"Geografia, Gobierno, Politica",34
