Name,Tags,Property
Fish,Food,4
Wood,,4
Meat,,4
Wine,,4
Food,Food,4
Dairy,,5
Health,,6
Cheese,,6
EdTech,,6
Soybean,Food,7
Chicken,Food,7
Tobacco,,7
Seafood,Food,7
Defense,,7
MedTech,,7
Fintech,"Digital Good, Finance, Service",7
Petróleo,,8
Creative,,8
Ceramics,,8
Robotics,,8
Metrology,,9
Education,,9
Insurance,,9
Healthcare,,10
Real Estate,,11
Aculculture,,11
Audiovisual,,11
Hedge Funds,,11
Index Funds,,11
IT Services,,11
Sector Fund,,11
Real Estate,,11
Shipbuilding,,12
Construction,,12
Mutual Funds,,12
Money Market,,12
Mutual Funds,,12
Entertainment,,13
Machine Tools,,13
Central Banks,,13
Pension Funds,,13
Credit Unions,,13
Semiconductors,,14
Heavy Industry,,14
Farmaceuticals,,14
Pioneers Banks,,14
Legal Services,,14
Metals Industry,,15
Mining Industry,,15
Retail Industry,"Commerce, Service",15
Venture Capital,,15
Brokerage Firms,,15
Commodity Funds,,15
Angel Investing,,15
Asset Management,,16
Chemical Industry,,17
Corporate Banking,,17
Development Banks,,17
Financial Industry,"Finance, Service",18
Telecommunications,,18
Investment Banking,,18
Automobile Industry,,19
Publishing Software,Digital Good,19
Stock Market System,,19
Electronic Commerce,Commerce,19
Consulting Services,,19
Specialized Lenders,,19
Productive Ecosystem,,20
Low Altitude Economy,,20
Advertising Industry,Service,20
Private Equity Firms,,20
Metalworking Industry,,21
Graphic Communication,,21
"Peer-to-peer lending ",,21
Packaging and Labeling,,22
Credit Rating Agencies,,22
Asset Management Firms,,22
Pulp and Paper Industry,,23
Unmanned Aerial Vehicle,,23
Bond Funds (Debt Funds),,23
Nuclear Reactor Industry,,24
Display Devices Industry,,24
"(Naval) Maritime Cluster ",,25
Logistics & Transportation,Service,26
Software Systems + Services,,27
Tecnical Extention Services,,27
Energy Productive Ecosystem,,27
Textile Productive Ecosystem,,28
Biotech Production Ecosystem,,28
Sovereign Wealth Funds (SWFs),,29
Savings and Loan Associations,,29
Exchange-Traded Fund (ETF) Providers,,36
Real Estate Investment Trusts (REITs),,37
Hospitality and Tourism Productive Ecosystem,Service,44
