Name,Tags,Property
Consejo Veedor,"Consejo, Consilium Magnum",14
Consejo Autónomo,"Consejo, Consilium Magnum",16
Consejo Defensor,"Consejo, Consilium Magnum",16
Consilium Magnum,Consilium Magnum,16
Consejo Judicial,"Consejo, Consilium Magnum",16
Consejo Servidor,"Consejo, Consilium Magnum",16
Consejo Municipal,"Consejo, Consilium Magnum",17
Consejo Regulador,"Consejo, Consilium Magnum",17
Consejo Honorario,"Consejo, Consejo Ejecutivo",17
Consejo Estratega,"Consejo, Consejo Ejecutivo",17
Consejo Ejecutivo,"Consejo, Consilium Magnum",17
Consejo Lesgilador,"Consejo, Consilium Magnum",18
Consejo Mayor de Justicia,"Consejo, Consejo Ejecutivo",25
Consejo Mayor de Seguridad,"Consejo, Consejo Ejecutivo",26
Consejo Mayor de Infraestructura,"Consejo, Consejo Ejecutivo",32
Consejo Mayor de Asuntos Sociales,"Consejo, Consejo Ejecutivo",33
Consejo Mayor de Asuntos Externos,"Consejo, Consejo Ejecutivo",33
Consejo Mayor de Asuntos Generales,"Consejo, Consejo Ejecutivo",34
Consejo Mayor de Asuntos Educativos,"Consejo, Consejo Ejecutivo",35
Consejo Mayor de Asuntos Economicos,"Consejo, Consejo Ejecutivo",35
Consejo Mayor de Asuntos Tecnocientíficos,"Consejo, Consejo Ejecutivo",41
