Name,Tags
UK,Observatorio
UAE,Observatorio
MIT,Observatorio
ONU,Observatorio
ADP,Observatorio
PwC,Observatorio
Qlik,Observatorio
Iran,Observatorio
KPMG,Observatorio
ITRI,Observatorio
Visa,Observatorio
ASML,Observatorio
Saab,Observatorio
Xero,Observatorio
RUAG,Observatorio
Cuba,Observatorio
China,
Infor,Observatorio
RIKEN,Observatorio
Baidu,Observatorio
India,Observatorio
Haiti,Observatorio
Japan,Observatorio
Italy,Observatorio
Riken,Observatorio
Terma,Observatorio
Infor,Observatorio
Honda,Observatorio
Chile,Observatorio
España,
SAP SE,Observatorio
NASDAQ,Observatorio
SpaceX,Observatorio
Sebrae,Observatorio
Gerdau,Observatorio
Poland,Observatorio
Israel,Observatorio
Sweden,Observatorio
Grecia,Observatorio
Turkey,Observatorio
Norway,Observatorio
France,Observatorio
Russia,Observatorio
Brazil,Observatorio
Taiwan,Observatorio
Canada,Observatorio
Fundar,Observatorio
Mitsui,Observatorio
Patria,Observatorio
México,Observatorio
ISS A/S,Observatorio
BASF SE,Observatorio
Ukraine,Observatorio
Hungary,Observatorio
Denmark,Observatorio
Estonia,Observatorio
Ireland,Observatorio
Finland,Observatorio
Austria,Observatorio
Germany,Observatorio
Vietnam,Observatorio
Belgium,Observatorio
Romania,Observatorio
Bruegel,Observatorio
HubSpot,Observatorio
"SAP SE ",Observatorio
Shopify,Observatorio
Globant,Observatorio
Odoo SA,Observatorio
Infosys,Observatorio
Abengoa,Observatorio
Ecuador,Observatorio
Uruguay,Observatorio
JBS S.A.,Observatorio
Euronext,Observatorio
ProChile,Observatorio
Ethiopia,Observatorio
Botswana,Observatorio
Embrapii,Observatorio
Bayer AG,Observatorio
Malaysia,Observatorio
Portugal,Observatorio
Thailand,Observatorio
Tecnalia,Observatorio
Telegram,Observatorio
ABB Ltd.,Observatorio
Deloitte,Observatorio
Axa S.A.,Observatorio
Colombia,Observatorio
Paraguay,Observatorio
Hong Kong,Observatorio
Marel hf.,Observatorio
SBA Group,Observatorio
Valio Ltd,Observatorio
REITAN AS,Observatorio
Fortescue,Observatorio
"XPO, Inc.",Observatorio
DHL Group,Observatorio
Mauritius,Observatorio
Airbus SE,Observatorio
Australia,Observatorio
Singapore,Observatorio
Lithuania,Observatorio
Indonesia,Observatorio
Bell Labs,Observatorio
Accenture,Observatorio
Capgemini,Observatorio
Atlassian,Observatorio
37signals,Observatorio
Asana Inc,Observatorio
Venezuela,Observatorio
Argentina,Observatorio
Sandvik AB,Observatorio
Governance,
Automattic,Observatorio
Siemens AG,Observatorio
Sage Group,Observatorio
Tata Group,Observatorio
FreshBooks,Observatorio
Xerox PARC,Observatorio
Andritz AG,Observatorio
Ebro Foods,Observatorio
World Bank,Observatorio
Laboratory,
Costa Rica,Observatorio
Investor AB,Observatorio
Enel S.p.A.,Observatorio
Bajaj Group,Observatorio
Grupo Carso,Observatorio
El Salvador,
Nestlé S.A.,Observatorio
Sanofi S.A.,Observatorio
Novartis AG,Observatorio
Pfizer Inc.,Observatorio
New Zealand,Observatorio
Switzerland,Observatorio
Netherlands,Observatorio
South Korea,Observatorio
Fab Academy,Observatorio
BAE Systems,Observatorio
Claro Cloud,Observatorio
Quicken Inc,Observatorio
Netflix Inc,Observatorio
Intuit Inc.,Observatorio
Command Bar,Observatorio
Grupo Bimbo,Observatorio
Puerto Rico,
Philippines,Observatorio
Grupo Romero,Observatorio
ABI Research,Observatorio
Komatsu Ltd.,Observatorio
Grupo México,Observatorio
Glencore plc,Observatorio
IBM Research,Observatorio
Embraer S.A.,Observatorio
Saudi Arabia,Observatorio
"Workday, Inc",Observatorio
Virgin Group,Observatorio
Tiny Capital,Observatorio
Toyota Group,Observatorio
"Hitachi, Ltd",Observatorio
Y Combinator,Observatorio
Schwarz Group,Observatorio
"HubSpot, Inc.",Observatorio
Rhodium Group,Observatorio
"PepsiCo, Inc.",Observatorio
Alibaba Group,Observatorio
Samsung Group,Observatorio
Elbit Systems,Observatorio
"Docusign, Inc",Observatorio
Bank of Japan,Observatorio
Carl Zeiss AG,Observatorio
MicroPort Inc.,
Grupo Corripio,Observatorio
ByteDance Ltd.,Observatorio
"Fortinet, Inc.",Observatorio
Snowflake Inc.,Observatorio
Borsa İstanbul,Observatorio
"Alphabet, Inc.",Observatorio
Czech Republic,Observatorio
UCL Policy Lab,Observatorio
Lowy Institute,Observatorio
Cato Institute,Observatorio
ST Engineering,Observatorio
Tokyo Electron,Observatorio
Salesforce Inc,Observatorio
Sumitomo Group,Observatorio
RD 1.0 Dominix,Observatorio
UBtech Robotics,Observatorio
Bunge Global SA,Observatorio
Bolsa de Madrid,Observatorio
Banco do Brasil,Observatorio
Banco de España,"Lab. Arbitrista, Observatorio"
Bank of England,Observatorio
Deere & Company,Observatorio
Rio Tinto Group,Observatorio
RTX Corporation,Observatorio
Google Research,Observatorio
ZTE Corporation,Observatorio
Haas Automation,Observatorio
AstraZeneca plc,Observatorio
Koch Industries,Observatorio
Google Deepmind,Observatorio
Sigma Alimentos,Observatorio
"BlackRock, Inc.",Observatorio
Industrial Park,
JetBrains s.r.o.,Observatorio
Zoho Corporation,Observatorio
"Salesforce, Inc.",Observatorio
Caterpillar Inc.,Observatorio
Novo Nordisk A/S,Observatorio
Scripps Research,Observatorio
RAND Corporation,Observatorio
"ServiceNow, Inc.",Observatorio
"Amazon.com, Inc.",Observatorio
Steyr Mannlicher,Observatorio
Mitsubishi Group,Observatorio
Zoho Corporation,Observatorio
Business Finland,Observatorio
MTU Aero Engines,Observatorio
Industry Mapping,Lab. Teoría Métodos y Herramientas Arbitristas
"Tyson Foods, Inc.",Observatorio
Micron Technology,Observatorio
RD 1.0 Efemerides,
Sumco Corporation,Observatorio
BHP Group Limited,Observatorio
FedEx Corporation,Observatorio
On State Agencies,
Wolfram Institute,Observatorio
Okuma Corporation,Observatorio
Johnson & Johnson,Observatorio
"Merck & Co., Inc.",Observatorio
Manufacturing USA,Observatorio
Pasteur Institute,Observatorio
Kongsberg Gruppen,Observatorio
Temasek  Holdings,Observatorio
SRI International,Observatorio
Robert Bosch GmbH,Observatorio
Sveriges Riksbank,Observatorio
Tokmanni Group Oyj,Observatorio
Oracle Corporation,Observatorio
History of Finance,Observatorio
SIX Swiss Exchange,Observatorio
Enterprise Ireland,Observatorio
BlackBerry Limited,Observatorio
Microsoft Research,Observatorio
Trumpf SE + Co. KG,Observatorio
"DMG Mori Co., Ltd.",Observatorio
The Boeing Company,Observatorio
Syngenta Global AG,Observatorio
Santa Fe Institute,Observatorio
Academia de Atenas,Observatorio
Harvard Growth Lab,Observatorio
Fraunhofer Society,Observatorio
Ernst & Young (EY),Observatorio
Slack Technologies,Observatorio
McKinsey & Company,Observatorio
Anduril Industries,Observatorio
Ford Motor Company,Observatorio
"Cisco Systems, Inc.",Observatorio
"AB Motala Verkstad ",Observatorio
CNH Industrial N.V.,Observatorio
Abbott Laboratories,Observatorio
