Name,Problem,Tags,Property
Cleaning,,Problem,8
Food,Food,"Food Technology, Problem",4
Sports,Enterteiment,Problem,6
Energy,Energy,"Energy, Problem, Technology",6
Material,,"Material, Problem",8
Furniture,,"Material, Problem",9
Healthcare,,"Healthcare, Problem",10
Construction,,"Construction, Problem",12
Transportation,,"Problem, Transportation",14
Personal Care,,Problem,13
Manufacturing,,"Problem, Technology",13
Personal Protection,,Problem,19
Waste Management,,Problem,16
Financial Technology (Fintech),,"Finance, Problem",30
Sterilization,,Problem,13
Disinfectant,,Problem,12
DNA Sequencing,,Problem,14
