Name,Tags,Property
Laboratorio Mayor en Óptica,,27
Laboratorio Mayor de Lógica,,27
Laboratorio Mayor en Física,,27
Laboratorio Mayor de Química,,28
Laboratorio Mayor de Sensores,,29
Laboratorio Mayor de Robótica,,29
Laboratorio Mayor de Mecánica,,29
Laboratorio Mayor en Biología,,29
"Laboratorio Mayor de Energía ",,29
Laboratorio Mayor de Geologia,,29
Laboratorio Mayor de Movilidad,,30
"Laboratorio Mayor de Biologia ",,30
Laboratorio Mayor de Geografia,,30
Laboratorio Mayor de Biofísica,,30
Laboratorio Mayor de Hidrología,,31
Laboratorio Mayor en Bioquímica,,31
Laboratorio Mayor de Veterinaria,,32
Laboratorio Mayor de Electrónica,,32
Laboratorio Mayor de Geociencias,,32
Laboratorio Mayor de Astrofísica,,32
Laboratorio Mayor de Biosistemas,,32
Laboratorio Mayor de Computacion,,32
Laboratorio Mayor de Matemáticas,,32
Laboratorio Mayor de Nanociencias,,33
Laboratorio Mayor en Biomateriales,,34
Laboratorio Mayor de Biotecnología,,34
Laboratorio Mayor de Microbiología,,34
Laboratorio Mayor de Neurociencias,,34
Laboratorio Mayor de Construcciones,,35
Laboratorio Mayor de Física Aplicada,,36
Laboratorio Mayor en Ecología Química,,37
Laboratorio Mayor en Ciencias Teóricas,,38
Laboratorio Mayor en Ciencias Formales,,38
Laboratorio Mayor de Ciencias Teoricas,,38
Laboratorio Mayor de Estudios Avanzados,,39
Laboratorio Mayor de Sistemas Autónomos,,39
Laboratorio Mayor de Riesgos Nacionales,,39
Laboratorio Mayor de Ciencias Nucleares,,39
Laboratorio Mayor de Sistemas Complejos,,39
Laboratorio Mayor de Ciencias Cognitivas,,40
Laboratorio Mayor en Ciencias Agronómicas,,41
Laboratorio Mayor en Ciencias Planetarias,,41
Laboratorio Mayor en Computación Cuántica,,41
Laboratorio Mayor de  Sistemas Terrestres,,41
Laboratorio Mayor en Ciencias de Alimentos,,42
Laboratorio Mayor de Ciencias de la Tierra,,42
Laboratorio Mayor en Ciencias Neurológicas,,42
Laboratorio Mayor de Sistemas Inteligentes,,42
Laboratorio Mayor de Proyectos Estrategicos,,43
Laboratorio Mayor en Ciencias de Materiales,,43
Laboratorio Mayor de Ciencias de Materiales,,43
Laboratorio Mayor en Ciencias Aeroespaciales,,44
Laboratorio Mayor en Biología del Desarrollo,,44
Laboratorio Mayor de Instrumentos Científicos,,45
Laboratorio Mayor en Ciencias Computacionales,,45
Laboratorio Mayor en Ciencias de la Computación,,47
