Name,Tags,Property
Laboratorio Mayor de Metapolíticas,,34
Laboratorio Mayor de Análisis Fiscal,,36
Laboratorio de Competitividad Nacional,,38
Laboratorio Mayor Estrategia Educativa,,38
Laboratorio Mayor de Comercio Exterior,,38
Laboratorio Mayor de Politica Exterior,,38
Laboratorio Mayor de Politicas de Salud,,39
Laboratorio Mayor de Politicas Sociales,,39
Laboratorio Mayor de Asuntos Financieros,,40
Laboratorio Mayor de Estrategia Económica,,41
Laboratorio Mayor de Politicas Energeticas,,42
Laboratorio Mayor de Digitalización Estatal,,43
Laboratorio Mayor de Politicas de Seguridad,,43
Laboratorio Menor de Politicas Urbanisticas,,43
Laboratorio Mayor de Politicas de Infraestructura,,49
Laboratorio Mayor de  Politicas de Capacidades Humanas,,54
Laboratorio Mayor de Administración Pública y Personal,,54
