Name,Tags,Property
Mine Lab,,8
Physics Lab,,11
Modeling Lab,,12
Simulation Lab,,14
Mathematics Lab,,15
Geochemistry Lab,,16
"Economic Geology ",,17
Mineral Physics Lab,,19
Waste Management  Lab,,21
Mineral Chemistry Lab,,21
Mineral Processing Lab,,22
Seismic Engineering Lab,,23
Smart Infrastructure Lab,,24
Extractive Metallurgy Lab,,25
Hydraulic Engineering Lab,,25
Construction Materials Lab,,26
Structural Engineering Lab,,26
Fire Safety Engineering Lab,,27
Geotechnical Engineering Lab,,28
Environmental Engineering Lab,,29
Transportation Engineering Lab,,30
Laboratorio Mayor de Metalurgia,,31
Mineral Economics and Policy Lab,,32
Structural Health Monitoring Lab,,32
Laboratorio Mayor de Biomateriales,,34
Laboratorio Mayor de Climatización,,34
Urban and Environmental Planning Lab,,36
Laboratorio Mayor de Infraestructura,,36
Laboratorio Mayor de Mineralogía Aplicada,,41
Laboratorio Mayor de Ciencias de Materiales,,43
