Name,Tags,Property
…,,1
Law  lab,,8
Ethics Lab,,10
History Lab,,11
Theology Lab,,12
Literary Lab,,12
Economic Lab,,12
Sociology Lab,,13
Simulation Lab,,14
Statecraft Lab,,14
Corruption Lab,,14
Statistics Lab,,14
Global Risk Lab,,15
Criminology Lab,,15
Physicology Lab,,15
Archaeology Lab,,15
Linguistics Lab,,15
Mathematics Lab,,15
Demographic Lab,,15
Global Trade Lab,,16
Social Policy Lab,,17
Cognitive Science Lab,,21
Political Science Lab,,21
Behavioral Studies Lab,,22
Digital Humanities Lab,,22
Development Studies Lab,,23
Technology & Socienty Lab,,25
Economic Intelligence Lab,,25
Computational Science Lab,,25
Conflict Studies Institute,,26
Computational Social Science Lab,,32
Education and Learning Research Lab,,35
